Transaction_ID,User_ID,User_Role,Book_ID,Book_Title,Book_Category,Branch_Location,Borrow_Date,Return_Date,Borrow_Duration_Days,Overdue_Status,Renewal_Count,Available_Copies_At_Borrow,Reservation_Status,Month,Year
TXN_20250001,USR_1031,Research Scholar,BK_405,Churchill: A Life,History & Biography,Engineering Branch,2025-01-01,2025-02-01,31,0,1,1,No Reservation,Jan 2025,2025
TXN_20250002,USR_1030,Student,BK_101,Deep Learning with Python,Computer Science & AI,Main Campus Library,2025-01-03,2025-01-18,15,0,0,2,No Reservation,Jan 2025,2025
TXN_20250003,USR_1030,Student,BK_505,Principles for Navigating Big Debt Crises,Business & Economics,Science & Tech Annex,2025-01-03,2025-01-10,7,0,0,1,No Reservation,Jan 2025,2025
TXN_20250004,USR_1039,Student,BK_102,Designing Data-Intensive Applications,Computer Science & AI,Science & Tech Annex,2025-01-04,2025-01-21,17,0,0,1,No Reservation,Jan 2025,2025
TXN_20250005,USR_1054,Student,BK_101,Deep Learning with Python,Computer Science & AI,Science & Tech Annex,2025-01-04,2025-01-13,9,0,1,1,No Reservation,Jan 2025,2025
TXN_20250006,USR_1080,Student,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Main Campus Library,2025-01-06,2025-01-14,8,0,0,2,No Reservation,Jan 2025,2025
TXN_20250007,USR_1095,Student,BK_102,Designing Data-Intensive Applications,Computer Science & AI,Main Campus Library,2025-01-07,2025-01-17,10,0,1,3,No Reservation,Jan 2025,2025
TXN_20250008,USR_1035,Staff,BK_106,Operating System Concepts,Computer Science & AI,Main Campus Library,2025-01-10,2025-02-04,25,0,0,2,No Reservation,Jan 2025,2025
TXN_20250009,USR_1012,Student,BK_302,1984,Fiction & Literature,Management Library,2025-01-10,2025-01-29,19,1,1,0,Reserved,Jan 2025,2025
TXN_20250010,USR_1076,Student,BK_504,"Thinking, Fast and Slow",Business & Economics,Science & Tech Annex,2025-01-11,2025-01-25,14,0,0,4,No Reservation,Jan 2025,2025
TXN_20250011,USR_1044,Research Scholar,BK_101,Deep Learning with Python,Computer Science & AI,Engineering Branch,2025-01-13,2025-02-05,23,1,0,3,No Reservation,Jan 2025,2025
TXN_20250012,USR_1065,Student,BK_201,Python for Data Analysis,Data Science & Statistics,Science & Tech Annex,2025-01-15,2025-01-30,15,0,1,4,No Reservation,Jan 2025,2025
TXN_20250013,USR_1061,Student,BK_305,Dune,Fiction & Literature,Main Campus Library,2025-01-15,2025-01-23,8,0,0,5,No Reservation,Jan 2025,2025
TXN_20250014,USR_1063,Staff,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Main Campus Library,2025-01-16,2025-01-24,8,1,0,1,Reserved,Jan 2025,2025
TXN_20250015,USR_1081,Faculty,BK_502,Zero to One,Business & Economics,Engineering Branch,2025-01-16,2025-02-03,18,0,0,8,No Reservation,Jan 2025,2025
TXN_20250016,USR_1044,Research Scholar,BK_104,Artificial Intelligence: A Modern Approach,Computer Science & AI,Management Library,2025-01-16,2025-02-15,30,1,0,1,Reserved,Jan 2025,2025
TXN_20250017,USR_1026,Staff,BK_104,Artificial Intelligence: A Modern Approach,Computer Science & AI,Main Campus Library,2025-01-16,2025-02-03,18,0,0,3,No Reservation,Jan 2025,2025
TXN_20250018,USR_1014,Faculty,BK_201,Python for Data Analysis,Data Science & Statistics,Main Campus Library,2025-01-16,2025-02-27,42,0,0,3,No Reservation,Jan 2025,2025
TXN_20250019,USR_1089,Student,BK_505,Principles for Navigating Big Debt Crises,Business & Economics,Engineering Branch,2025-01-17,2025-02-04,18,0,2,4,No Reservation,Jan 2025,2025
TXN_20250020,USR_1028,Student,BK_105,Introduction to Algorithms (CLRS),Computer Science & AI,Main Campus Library,2025-01-17,2025-01-30,13,0,1,4,No Reservation,Jan 2025,2025
TXN_20250021,USR_1028,Student,BK_305,Dune,Fiction & Literature,Engineering Branch,2025-01-18,2025-02-01,14,0,1,4,No Reservation,Jan 2025,2025
TXN_20250022,USR_1063,Staff,BK_403,"Guns, Germs, and Steel",History & Biography,Main Campus Library,2025-01-19,2025-02-11,23,1,0,1,No Reservation,Jan 2025,2025
TXN_20250023,USR_1043,Faculty,BK_305,Dune,Fiction & Literature,Engineering Branch,2025-01-19,2025-02-09,21,0,0,3,No Reservation,Jan 2025,2025
TXN_20250024,USR_1063,Staff,BK_302,1984,Fiction & Literature,Main Campus Library,2025-01-20,2025-02-01,12,0,0,3,No Reservation,Jan 2025,2025
TXN_20250025,USR_1063,Staff,BK_403,"Guns, Germs, and Steel",History & Biography,Science & Tech Annex,2025-01-21,2025-02-05,15,0,0,10,No Reservation,Jan 2025,2025
TXN_20250026,USR_1044,Research Scholar,BK_204,Storytelling with Data,Data Science & Statistics,Main Campus Library,2025-01-22,2025-02-07,16,0,2,8,No Reservation,Jan 2025,2025
TXN_20250027,USR_1014,Faculty,BK_101,Deep Learning with Python,Computer Science & AI,Engineering Branch,2025-01-22,2025-02-21,30,0,0,3,No Reservation,Jan 2025,2025
TXN_20250028,USR_1080,Student,BK_403,"Guns, Germs, and Steel",History & Biography,Science & Tech Annex,2025-01-23,2025-01-29,6,0,0,1,No Reservation,Jan 2025,2025
TXN_20250029,USR_1027,Student,BK_106,Operating System Concepts,Computer Science & AI,Main Campus Library,2025-01-23,2025-02-05,13,0,1,2,No Reservation,Jan 2025,2025
TXN_20250030,USR_1038,Research Scholar,BK_204,Storytelling with Data,Data Science & Statistics,Engineering Branch,2025-01-24,2025-02-07,14,0,0,4,No Reservation,Jan 2025,2025
TXN_20250031,USR_1086,Student,BK_402,Steve Jobs,History & Biography,Management Library,2025-01-25,2025-02-10,16,0,1,3,No Reservation,Jan 2025,2025
TXN_20250032,USR_1086,Student,BK_504,"Thinking, Fast and Slow",Business & Economics,Science & Tech Annex,2025-01-26,2025-02-12,17,0,0,1,No Reservation,Jan 2025,2025
TXN_20250033,USR_1052,Student,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Engineering Branch,2025-01-29,2025-02-08,10,0,0,3,No Reservation,Jan 2025,2025
